,Unnamed: 0.1,Brand,Capacity in kgs,Type of Load,Spin_Speed in RPM,Customer_Rating,Colour,Sale_Price,Discount %,Price_Category,Rating_category
185,185,LG,8.0, Fully Automatic Front Load,700.0,4.2,Black,38568.0,26.0,Premium,Positive
186,186,MarQ,6.5, Fully Automatic Top Load,1400.0,4.3,Grey,13690.0,14.0,Economical,Positive
187,187,Panasonic,7.0, Semi Automatic Top Load,1350.0,4.3,White,10490.0,9.0,Economical,Positive
188,188,Whirlpool,6.5, Fully Automatic Top Load,1200.0,4.3,Grey,17990.0,16.0,Economical,Positive
189,189,Thomson,7.5, Semi Automatic Top Load,1400.0,4.1,Grey,8990.0,18.0,Economical,Positive
190,190,Lloyd,6.5, Semi Automatic Top Load,1400.0,4.4,Grey,8790.0,26.0,Economical,Positive
191,191,LG,10.0, Semi Automatic Top Load,1400.0,4.5,White,19490.0,9.0,Economical,Positive
192,192,LG,6.5, Fully Automatic Top Load,1200.0,4.4,Silver,20490.0,9.0,Premium,Positive
193,193,SAMSUNG,8.0, Fully Automatic Front Load,800.0,4.3,White,36990.0,15.0,Premium,Positive
194,194,MarQ,7.5, Semi Automatic Top Load,780.0,4.3,Maroon,9690.0,18.0,Economical,Positive
195,195,IFB,8.5,Washer with Dryer,1400.0,4.5,Black,42490.0,17.0,Premium,Positive
196,196,LG,8.0, Fully Automatic Front Load,680.0,4.2,Black,38690.0,31.0,Premium,Positive
197,197,Haier,7.0, Fully Automatic Top Load,1000.0,4.3,Grey,15290.0,13.0,Economical,Positive
198,198,LG,6.5, Fully Automatic Front Load,1000.0,3.8,Silver,32990.0,19.0,Premium,Average
199,199,BOSCH,6.0, Fully Automatic Front Load,800.0,4.4,White,23499.0,32.0,Premium,Positive
200,200,LG,7.0, Fully Automatic Top Load,1300.0,4.2,Silver,19499.0,21.0,Economical,Positive
201,201,LG,7.0, Fully Automatic Front Load,1200.0,4.6,Silver,33400.0,37.0,Premium,Excellent
202,202,IFB,7.0, Fully Automatic Front Load,1000.0,4.2,White,29990.0,13.0,Premium,Positive
203,203,Haier,7.0, Semi Automatic Top Load,1400.0,4.2,White,9690.0,15.0,Economical,Positive
204,204,IFB,6.5, Fully Automatic Front Load,1300.0,4.4,White,29750.0,35.0,Premium,Positive
205,205,Galanz,8.0, Fully Automatic Front Load,800.0,4.0,Silver,28990.0,15.0,Premium,Positive
206,206,Haier,8.5, Semi Automatic Top Load,1200.0,4.4,Multicolor,12990.0,32.0,Economical,Positive
207,207,IFB,6.0, Fully Automatic Front Load,1000.0,4.3,White,23990.0,9.0,Premium,Positive
208,208,LG,6.0, Fully Automatic Front Load,1400.0,4.4,White,31690.0,12.0,Premium,Positive
209,209,IFB,8.0, Fully Automatic Front Load,700.0,4.3,Silver,40207.0,8.0,Premium,Positive
210,210,SAMSUNG,9.5, Semi Automatic Top Load,780.0,4.3,White,15700.0,23.0,Economical,Positive
211,211,LG,9.0, Fully Automatic Front Load,1400.0,4.4,Silver,40990.0,24.0,Premium,Positive
212,212,LG,7.0, Fully Automatic Front Load,1300.0,4.6,Silver,35890.0,11.0,Premium,Excellent
213,213,SAMSUNG,10.0, Fully Automatic Top Load,1400.0,4.4,Grey,30990.0,14.0,Premium,Positive
214,214,Voltas,7.5,Washer only,1200.0,4.2,Blue,5750.0,24.0,Economical,Positive
215,215,LG,9.0, Fully Automatic Front Load,720.0,3.9,Silver,37500.0,21.0,Premium,Average
216,216,LG,8.0, Fully Automatic Front Load,1200.0,4.4,Silver,34990.0,9.0,Premium,Positive
217,217,IFB,6.5, Fully Automatic Top Load,1400.0,4.2,Indigo,19590.0,2.0,Economical,Positive
218,218,LG,8.0, Semi Automatic Top Load,1200.0,4.4,White,13899.0,15.0,Economical,Positive
219,219,MOTOROLA,8.0, Fully Automatic Top Load,700.0,4.2,Grey,28690.0,11.0,Premium,Positive
220,220,BOSCH,6.5, Fully Automatic Front Load,1400.0,4.4,White,28990.0,12.0,Premium,Positive
221,221,IFB,8.0,Washer with Dryer,1000.0,4.4,Black,36500.0,25.0,Premium,Positive
222,222,Whirlpool,7.5, Semi Automatic Top Load,1200.0,4.4,Maroon,13340.0,32.0,Economical,Positive
223,223,IFB,7.0, Fully Automatic Front Load,1200.0,4.5,White,34290.0,9.0,Premium,Positive
224,224,White,7.5, Semi Automatic Top Load,740.0,4.1,Maroon,8499.0,21.0,Economical,Positive
225,225,MOTOROLA,8.0, Fully Automatic Front Load,1000.0,4.2,Silver,26490.0,16.0,Premium,Positive
226,226,LG,10.0,Washer with Dryer,680.0,4.5, Maroon,32490.0,39.0,Premium,Positive
227,227,Whirlpool,7.5, Fully Automatic Top Load,1200.0,4.3,Grey,19990.0,37.0,Economical,Positive
228,228,Haier,6.0, Fully Automatic Top Load,1300.0,4.2,Grey,12490.0,22.0,Economical,Positive
229,229,Sansui,7.5, Fully Automatic Top Load,300.0,4.0,Grey,12490.0,6.0,Economical,Positive
230,230,LG,10.0, Fully Automatic Top Load,1400.0,4.3,Black,30470.0,18.0,Premium,Positive
231,231,Godrej,7.0, Fully Automatic Top Load,740.0,4.2,Grey,15990.0,13.0,Economical,Positive
232,232,IFB,6.5, Fully Automatic Front Load,680.0,4.3,White,29390.0,12.0,Premium,Positive
233,233,Lloyd,8.5, Semi Automatic Top Load,680.0,4.0,White,11840.0,32.0,Economical,Positive
234,234,Midea,7.0, Fully Automatic Front Load,1000.0,4.2,Grey,22990.0,14.0,Premium,Positive
235,235,Whirlpool,7.5, Fully Automatic Top Load,1000.0,4.5,Grey,22610.0,27.0,Premium,Positive
236,236,LG,8.5,Washer only,700.0,4.3,White,16290.0,18.0,Economical,Positive
237,237,IFB,8.0, Fully Automatic Front Load,1000.0,4.5,White,34590.0,9.0,Premium,Positive
238,238,Godrej,8.0, Semi Automatic Top Load,1300.0,3.9,White,15790.0,8.0,Economical,Average
239,239,Godrej,8.5, Semi Automatic Top Load,740.0,4.2,White,15490.0,23.0,Economical,Positive
240,240,Godrej,8.5, Semi Automatic Top Load,700.0,3.9,White,15490.0,13.0,Economical,Average
241,241,ONIDA,8.0, Semi Automatic Top Load,1000.0,4.3,White,10490.0,23.0,Economical,Positive
242,242,Thomson,7.5, Fully Automatic Top Load,740.0,4.1,Grey,13990.0,36.0,Economical,Positive
243,243,Haier,6.5, Fully Automatic Top Load,1000.0,4.3,Silver,14799.0,35.0,Economical,Positive
